scraped_name,name,website,industry,squareLogo,overallRating,cultureAndValuesRating,seniorLeadershipRating,compensationAndBenefitsRating,careerOpportunitiesRating,workLifeBalanceRating
goodyear tire & rubber co,Goodyear,www.goodyear.com,Industrial Manufacturing,https://media.glassdoor.com/sqll/292/goodyear-squarelogo.png,3.2,3.0,2.8,3.5,3.2,2.9
gordon food service,Gordon Food Service,www.gfs.com,Logistics & Supply Chain,https://media.glassdoor.com/sqll/2803/gordon-food-service-squarelogo-1417812039828.png,3.6,3.6,3.2,3.4,3.2,3.2
government scientific source,Government Scientific Source,www.govsci.com,,,3.6,3.3,3.0,3.3,2.7,3.3
grace healthcare,Grace Healthcare,www.gracehc.com,Health Care Services & Hospitals,https://media.glassdoor.com/sqll/741319/grace-healthcare-squarelogo-1424931242173.png,2.6,2.5,2.1,2.3,2.6,2.3
grafton integrated health network,Grafton Integrated Health Network,www.grafton.org,Health Care Services & Hospitals,https://media.glassdoor.com/sqll/655487/grafton-integrated-health-network-squarelogo-1443073418644.png,2.7,2.6,2.1,2.5,2.6,2.6
grand home furnishings,Grand Piano & Furniture,www.grand-web.com,Home Furniture & Housewares Stores,,3.3,2.7,2.2,2.4,3.2,3.2
grant thornton llp,Grant Thornton,www.grantthornton.com,Accounting,https://media.glassdoor.com/sqll/100134/grant-thornton-llp-squarelogo.png,3.8,3.9,3.5,3.4,3.7,3.5
gray kennels & security,Gray Rook Security Group,www.grayrook.com,Accounting,,5.0,0.0,5.0,5.0,5.0,5.0
graybar,Graybar Electric,www.graybar.com,Wholesale,https://media.glassdoor.com/sqll/2804/graybar-electric-squarelogo.png,3.4,3.5,3.1,3.7,3.5,3.6
great eastern resort corporation,Great Eastern Resort,www.massresort.com,"Hotels, Motels, & Resorts",https://media.glassdoor.com/sqll/318474/great-eastern-resort-squarelogo-1447677075267.png,2.4,1.6,1.9,2.9,1.8,2.2
great wolf lodge,Great Wolf Resorts,www.greatwolf.com,"Museums, Zoos & Amusement Parks",https://media.glassdoor.com/sqll/421051/great-wolf-resorts-squarelogo-1465393498192.png,3.3,3.4,2.7,3.0,3.0,2.8
greatbatch,Greatbatch,www.greatbatch.com,Health Care Products Manufacturing,https://media.glassdoor.com/sqll/12030/greatbatch-squarelogo-1429032556157.png,2.7,2.6,2.5,2.9,2.6,3.0
green applications,Green Home Green Planet,www.ghgp.com.au,"Health, Beauty, & Fitness",,0,0.0,0.0,0.0,0.0,0.0
green mountain coffee,Keurig Green Mountain,www.keuriggreenmountain.com,Food & Beverage Manufacturing,https://media.glassdoor.com/sqll/4869/keurig-green-mountain-squarelogo-1423492868256.png,3.0,3.0,2.4,3.7,2.9,3.2
green mtn concert services,Green Mtn. Concert Services,www.gmcsusa.com,Performing Arts,https://media.glassdoor.com/sqll/1080847/green-mtn-concert-services-squarelogo-1444144452499.png,3.0,3.0,3.0,3.0,4.0,3.0
"green plains renewable energy, inc.",Green Plains,www.gpreinc.com,Chemical Manufacturing,https://media.glassdoor.com/sqll/40862/green-plains-squarelogo-1442482664305.png,3.2,3.4,3.1,3.4,3.2,2.9
green tree service inc.,Green Tree Servicing,www.gtservicing.com,Financial Analytics & Research,https://media.glassdoor.com/sqll/299/green-tree-servicing-squarelogo-1378922681110.png,2.3,2.1,2.1,3.0,2.3,2.3
greenfield senior living,Greenfield Senior Living,www.greenfieldseniorliving.com,Health Care Services & Hospitals,https://media.glassdoor.com/sqll/677834/greenfield-senior-living-squarelogo-1457645542510.png,3.5,4.1,3.9,3.1,4.0,3.9
greenspring,Greenspring Retirement Community,www.ericksonliving.com,Health Care Services & Hospitals,https://media.glassdoor.com/sqll/251957/greenspring-retirement-community-squarelogo-1432127845139.png,3.4,3.7,3.0,3.2,2.8,3.4
greensville county,Greensville County Public Schools,www.gcps1.com,Preschool & Child Care,https://media.glassdoor.com/sqll/271989/greensville-county-public-schools-squarelogo-1442304169269.png,2.3,1.0,1.0,2.0,1.0,2.0
greg garrett realty.com,Greg Garrett Realty,www.greggarrettrealty.com,,,5.0,5.0,5.0,5.0,5.0,5.0
gresham smith & partners,Gresham Smith and Partners,www.greshamsmith.com,Architectural & Engineering Services,https://media.glassdoor.com/sqll/266962/gresham-smith-and-partners-squarelogo.png,3.3,3.1,3.2,3.1,3.0,3.3
griffin pipe products company,Griffin Pipe Products,www.griffinpipe.com,Industrial Manufacturing,https://media.glassdoor.com/sqll/745536/griffin-pipe-products-squarelogo-1431682902386.png,3.1,3.1,2.9,3.9,3.4,2.8
"grifols shared services north america, inc",Grifols,www.grifols.com,Biotech & Pharmaceuticals,https://media.glassdoor.com/sqll/42397/grifols-spain-squarelogo.png,2.9,2.7,2.3,3.1,3.0,2.5
grocery works,Angelo Caputo's,www.caputomarkets.com,Vehicle Dealers,https://media.glassdoor.com/sqll/322435/angelo-caputo-s-squarelogo.png,2.7,2.6,2.3,2.1,1.9,3.0
"groundwater & environmental services, inc.",Groundwater Environmental Services,www.gesonline.com,Architectural & Engineering Services,https://media.glassdoor.com/sqll/265216/groundwater-environmental-services-squarelogo-1412803171040.png,2.8,3.1,2.7,3.0,2.8,3.3
groupon,Groupon,www.groupon.com,Internet,https://media.glassdoor.com/sqll/301291/groupon-squarelogo-1452288401060.png,3.2,3.5,2.7,3.1,2.9,3.6
gryphon scientific,Gryphon Scientific,www.gryphonscientific.com,Research & Development,,4.5,4.6,5.0,3.6,4.0,4.7
"gs5, llc","GS5, LLC",www.gs5-llc.com,Advertising & Marketing,https://media.glassdoor.com/sqll/159135/gs5-llc-squarelogo-1424702462340.png,3.7,3.8,3.5,4.5,2.8,4.0
gssr inc.,GSSR,www.gssr.com,IT Services,https://media.glassdoor.com/sqll/421537/gssr-squarelogo-1441781540464.png,4.0,4.0,4.5,4.0,4.0,4.0
"gstek, inc.",GStek,www.gstekinc.com,"Cable, Internet & Telephone Providers",https://media.glassdoor.com/sqll/270367/gstek-squarelogo-1461938875723.png,2.7,3.4,3.0,3.0,2.6,4.3
gtri,GTRI,www.gtri.com,IT Services,https://media.glassdoor.com/sqll/135922/gtri-squarelogo.png,2.9,2.9,2.6,3.2,2.9,3.5
guardian industries,Guardian Industries,www.guardian.com,Miscellaneous Manufacturing,https://media.glassdoor.com/sqll/2809/guardian-industries-squarelogo-1465839281125.png,2.5,2.3,2.1,2.9,2.3,2.2
"guernsey, inc.",Guernsey Coating Laboratories,www.gclinc.com,Chemical Manufacturing,,5.0,0.0,0.0,0.0,4.0,4.0
guest services inc,Guest Services,www.guestservices.com,Catering & Food Service Contractors,https://media.glassdoor.com/sqll/23646/guest-services-squarelogo-1408107828423.png,2.8,2.4,2.3,2.8,2.6,2.7
"guest services, inc.",Guest Services,www.guestservices.com,Catering & Food Service Contractors,https://media.glassdoor.com/sqll/23646/guest-services-squarelogo-1408107828423.png,2.8,2.4,2.3,2.8,2.6,2.7
gulfstream aerospace corp.,Gulfstream,www.gulfstream.com,Aerospace & Defense,https://media.glassdoor.com/sqll/2812/gulfstream-aerospace-squarelogo.png,3.6,3.3,3.1,3.8,3.4,3.3
gunnison consulting group inc,Gunnison Consulting Group,www.gunnisonconsulting.com,IT Services,,4.1,3.5,4.4,4.5,3.6,4.2
gw medical faculty associates,The GW Medical Faculty Associates,www.gwdocs.com,Health Care Services & Hospitals,https://media.glassdoor.com/sqll/123312/the-george-washington-university-medical-faculty-associates-squarelogo.png,2.2,2.2,1.9,2.1,2.1,2.4
h & r block,H&R Block,www.hrblock.com,Other Retail Stores,https://media.glassdoor.com/sqll/303/h-and-r-block-squarelogo-1384536819026.png,3.5,3.5,3.1,2.6,3.2,3.6
h s construction iii inc,HS Construction III,www.hs3inc.com,,,2.0,3.0,1.5,1.5,1.5,2.0
"h&e equipment services, inc",H&E Equipment Services,www.he-equipment.com,Commercial Equipment Rental,https://media.glassdoor.com/sqll/18360/h-and-e-equipment-services-squarelogo-1459529132627.png,2.7,2.3,2.4,3.0,2.5,2.9
"h.e.l.p., inc",HELP Inc,www.helpinc.us,,,4.0,5.0,4.0,1.0,4.0,5.0
h2 performance consulting,H2 Performance Consulting,www.h2pc.com,Accounting,https://media.glassdoor.com/sqll/554919/h2-performance-consulting-squarelogo-1448363423551.png,4.5,4.6,4.7,4.4,3.8,4.6
"hadiamondstar software solutions, llc.",Hadiamondstar Software Solutions,www.hadiamondstar.com,IT Services,https://media.glassdoor.com/sqll/427013/hadiamondstar-software-solutions-squarelogo-1432208318791.png,3.6,3.6,3.5,3.5,3.7,3.9
haeco americas,HAECO Americas,www.haeco.aero,Aerospace & Defense,https://media.glassdoor.com/sqll/904815/haeco-americas-squarelogo-1414293993205.png,2.9,2.5,2.2,2.7,2.8,2.9
hagemeyer north america,Hagemeyer North America,www.hagemeyerna.com,Wholesale,https://media.glassdoor.com/sqll/14852/hagemeyer-north-america-squarelogo-1476377673776.png,3.5,3.3,3.1,3.2,2.9,3.8
"hahn automotive warehouse, inc",Hahn Automotive,www.hahnauto.com,Automotive Parts & Accessories Stores,https://media.glassdoor.com/sqll/2267/hahn-automotive-squarelogo-1432119587764.png,2.7,2.7,2.6,2.0,2.2,3.2
"haley & aldrich, inc.","Haley & Aldrich, Inc",www.haleyaldrich.com,Consulting,https://media.glassdoor.com/sqll/224652/haley-and-aldrich-inc-squarelogo-1421633283540.png,3.9,4.1,3.7,3.7,3.7,3.7
haley auto group,Haley Auto,www.haleyauto.com,Vehicle Dealers,,3.0,1.0,3.0,3.0,1.0,1.0
halfaker & associates llc,Halfaker and Associates,www.halfaker.com,IT Services,https://media.glassdoor.com/sqll/417840/halfaker-and-associates-squarelogo-1421244510128.png,4.6,4.7,4.3,4.2,4.0,4.2
hall industries inc,Hall Industries,www.hallindustries.com,,,0,0.0,0.0,0.0,0.0,0.0
hallcon,Hallcon,www.hallconcorp.com,Transportation Management,,2.6,2.4,1.9,2.1,2.2,2.0
hampton city schools,Hampton City School District,www.sbo.hampton.k12.va.us,Health Care Services & Hospitals,https://media.glassdoor.com/sqll/151142/hampton-city-school-district-squarelogo-1424176407419.png,3.5,3.3,3.1,3.0,3.2,3.2
hampton inn & suites,Hampton Inn,www.hampton-inn.com,"Hotels, Motels, & Resorts",https://media.glassdoor.com/sqll/244239/hampton-inn-squarelogo-1465306500006.png,3.5,3.5,3.2,2.8,3.0,3.1
hampton police division,Hampton Police Division,www.hampton.va.us/police/index.html,Municipal Governments,https://media.glassdoor.com/sqll/202207/hampton-police-division-squarelogo-1429610420605.png,2.9,2.9,2.3,2.5,2.6,2.7
hampton university,Hampton University,www.hamptonu.edu,Colleges & Universities,https://media.glassdoor.com/sqll/23837/hampton-university-squarelogo-1423745852247.png,2.7,3.3,2.6,2.3,2.6,3.1
"hands of comfort, llc",Comfort Hands Healthcare,www.comforthandshc.com,Health Care Services & Hospitals,https://media.glassdoor.com/sqll/766705/comfort-hands-healthcare-squarelogo-1467710880282.png,3.0,3.0,3.0,2.0,4.0,3.0
hanger clinic,Hanger,www.hanger.com,Health Care Services & Hospitals,https://media.glassdoor.com/sqll/1791/hanger-orthopedic-squarelogo.png,2.8,2.7,2.2,3.0,2.7,2.8
"hankins and anderson, inc.",Hankins and Anderson Consulting Engineers,www.haengineers.com,Architectural & Engineering Services,https://media.glassdoor.com/sqll/300883/hankins-and-anderson-consulting-engineers-squarelogo-1424782089180.png,3.5,3.3,3.1,3.4,3.2,3.7
harbor freight,Harbor Freight Tools,www.harborfreight.com/employment-opportunities.html,Home Centers & Hardware Stores,https://media.glassdoor.com/sqll/241635/harbor-freight-tools-squarelogo-1481559765917.png,3.1,2.9,2.8,3.1,3.0,2.9
"harkcon, inc","Harkcon, Inc.",www.harkcon.com,Consulting,,3.7,3.2,3.2,2.7,2.2,4.2
harlan lee & associates llc,Harlan Lee & Associates,www.hlassociates.com,,,5.0,5.0,5.0,5.0,1.0,5.0
harman international,HARMAN,www.harman.com,Consumer Products Manufacturing,https://media.glassdoor.com/sqll/315/harman-squarelogo-1438616171466.png,3.4,3.2,3.0,3.3,3.4,3.3
harmony information systs inc,Harmony Information Systems,www.harmonyis.com,Computer Hardware & Software,https://media.glassdoor.com/sqll/150549/harmony-information-systems-squarelogo.png,2.9,3.0,2.8,2.8,2.5,2.4
harris corporation,Harris,www.harris.com,Aerospace & Defense,https://media.glassdoor.com/sqll/317/harris-squarelogo-1460737305112.png,3.0,2.9,2.4,2.8,2.9,3.3
harris teeter inc.,Harris Teeter,www.harristeeter.jobs,Grocery Stores & Supermarkets,https://media.glassdoor.com/sqll/18182/harris-teeter-squarelogo.png,3.3,3.4,2.8,3.2,3.3,3.0
haynes furniture company,Haynes Furniture,www.haynesfurniture.com,Home Furniture & Housewares Stores,https://media.glassdoor.com/sqll/366914/haynes-furniture-squarelogo-1425979645493.png,1.8,1.7,1.5,1.8,1.6,1.4
haystax technology,Haystax Technology,www.haystax.com,Computer Hardware & Software,https://media.glassdoor.com/sqll/798533/haystax-technology-squarelogo-1461346111416.png,4.4,4.4,4.1,4.2,4.2,4.2
hca healthcare,Hospital Corporation of America,www.hcahealthcare.com,Health Care Services & Hospitals,https://media.glassdoor.com/sqll/2062/hca-squarelogo-1381934478148.png,3.4,3.4,3.0,3.3,3.4,3.4
hcr manorcare,HCR ManorCare,www.hcr-manorcare.com,Health Care Services & Hospitals,https://media.glassdoor.com/sqll/354848/hcr-manorcare-squarelogo-1476979428052.png,2.7,2.6,2.3,2.5,2.6,2.5
hd supply,HD Supply,www.hdsupply.com,Construction,https://media.glassdoor.com/sqll/19909/hd-supply-squarelogo-1414782674439.png,3.0,3.0,2.7,2.9,2.8,3.2
hdr,HDR,www.hdrinc.com,Architectural & Engineering Services,https://media.glassdoor.com/sqll/15172/hdr-squarelogo-1461351290329.png,3.9,3.9,3.4,3.7,3.6,3.7
"hdr engineering, inc.",HDR,www.hdrinc.com,Architectural & Engineering Services,https://media.glassdoor.com/sqll/15172/hdr-squarelogo-1461351290329.png,3.9,3.9,3.4,3.7,3.6,3.7
headwaters group inc.,Headwaters,www.headwaters.com,Oil & Gas Exploration & Production,https://media.glassdoor.com/sqll/8339/headwaters-squarelogo-1430119155974.png,3.1,2.9,2.8,3.2,2.3,3.0
headway workforce solutions,Headway Workforce Solutions,www.headwaycorp.com,,https://media.glassdoor.com/sqll/4115/headway-workforce-solutions-squarelogo-1466695300059.png,3.4,3.5,3.3,2.5,2.9,3.7
"health net, inc.",Health Net,www.healthnet.com,Insurance Carriers,https://media.glassdoor.com/sqll/1233/health-net-squarelogo.png,3.2,3.0,2.6,3.4,2.8,3.1
healthcare services group,Healthcare Services Group,www.hcsgcorp.com,Building & Personnel Services,https://media.glassdoor.com/sqll/1480/healthcare-services-squarelogo.png,2.1,1.8,2.0,1.8,2.4,2.0
healthcare systems,NextGen Healthcare,www.nextgen.com,Computer Hardware & Software,https://media.glassdoor.com/sqll/30555/nextgen-squarelogo.png,2.7,2.9,2.4,2.9,2.6,3.2
"healthways, inc.",Healthways,www.healthways.com,Health Care Services & Hospitals,https://media.glassdoor.com/sqll/171/healthways-squarelogo.png,3.1,3.5,2.6,3.1,2.4,3.6
"heartland dental, llc",Heartland Dental,www.heartland.com,Health Care Services & Hospitals,https://media.glassdoor.com/sqll/196086/heartland-dental-squarelogo-1395147651135.png,3.3,3.4,2.8,2.8,3.5,2.7
"heartland payment systems, inc.",Heartland Payment Systems,www.heartlandpaymentsystems.com,Financial Transaction Processing,https://media.glassdoor.com/sqll/15462/heartland-payment-systems-squarelogo-1420480927867.png,3.3,3.4,2.8,3.1,3.0,3.5
heath consultants,Heath Consultants,www.heathus.com,Oil & Gas Services,https://media.glassdoor.com/sqll/666840/heath-consultants-squarelogo-1424869499776.png,2.4,2.1,2.0,2.2,2.4,2.5
heery international,Heery,www.heery.com,Architectural & Engineering Services,https://media.glassdoor.com/sqll/15181/heery-squarelogo.png,3.7,3.5,3.2,3.8,3.2,3.9
hei hotels,HEI Hotels & Resorts,www.heihotels.com,Real Estate,https://media.glassdoor.com/sqll/292679/hei-hospitality-squarelogo-1424242589936.png,2.9,2.9,2.8,2.9,3.4,2.6
hei hotels & resorts,HEI Hotels & Resorts,www.heihotels.com,Real Estate,https://media.glassdoor.com/sqll/292679/hei-hospitality-squarelogo-1424242589936.png,2.9,2.9,2.8,2.9,3.4,2.6
helena chemical company,Helena Chemical,www.helenachemical.com,Wholesale,https://media.glassdoor.com/sqll/16893/helena-chemical-squarelogo.png,3.4,3.2,3.0,3.1,2.6,3.1
helios hr,Helios HR,www.helioshr.com,Consulting,https://media.glassdoor.com/sqll/245174/helioshr-squarelogo-1432126247967.png,3.6,3.6,3.8,3.0,3.4,2.9
helpful alliance company,Helping Hand Company Alliance,www.helpinghand.us.com,Health Care Services & Hospitals,,0,0.0,0.0,0.0,0.0,0.0
henkels & mccoy,Henkels & McCoy,www.henkels.com,Construction,https://media.glassdoor.com/sqll/8947/henkels-and-mccoy-squarelogo.png,3.1,3.2,2.6,3.3,3.1,2.7
henrico health and rehabilitation center,Henrico Health & Rehabilitation Center,www.henricohealthrehab.com,,,0,0.0,0.0,0.0,0.0,0.0
henry s branscome llc,Henry S. Branscome,www.hsbllc.com,,,3.0,3.0,4.0,3.0,1.0,3.0
henry schein,Henry Schein,www.henryschein.com,Wholesale,https://media.glassdoor.com/sqll/5319/henry-schein-squarelogo.png,3.4,3.7,3.1,3.3,3.0,3.7
henry schein animal health,Henry Schein Animal Health,www.henryscheinvet.com,Wholesale,https://media.glassdoor.com/sqll/720387/henry-schein-animal-health-squarelogo-1426142876048.png,2.6,2.9,2.6,2.5,2.0,2.5
hensel phelps,Hensel Phelps Construction,www.henselphelps.com,Construction,https://media.glassdoor.com/sqll/3218/hensel-phelps-construction-squarelogo-1387222254080.png,3.8,4.0,3.7,4.2,3.9,2.6
hepaco,HEPACO,www.hepaco.com,General Repair & Maintenance,https://media.glassdoor.com/sqll/777330/hepaco-squarelogo-1448607071994.png,2.8,2.6,1.5,1.8,1.8,1.6
herc rentals,Herc Rentals,www.hercrentals.com,,,3.7,3.0,2.8,3.6,2.8,3.4
heritage natural market,Heritage Natural Market,www.heritagenaturalmarket.com,Vehicle Dealers,,1.0,0.0,0.0,0.0,0.0,0.0
heritage-crystal clean,Heritage-Crystal Clean LLC,www.crystal-clean.com,Building & Personnel Services,https://media.glassdoor.com/sqll/42640/heritage-crystal-clean-llc-squarelogo-1399562708642.png,3.2,2.7,2.7,3.4,3.0,2.8
hershey chocolate,The Hershey Company,www.thehersheycompany.com,Food & Beverage Manufacturing,https://media.glassdoor.com/sqll/326/the-hershey-company-squarelogo-1404327997957.png,3.5,3.7,3.1,3.7,3.2,3.3
hertz rent a car,Hertz,www.hertz.com,Car Rental,https://media.glassdoor.com/sqll/4071/hertz-squarelogo.png,2.7,2.5,2.3,2.8,2.8,2.4
hertzler & george,Hertzler and George,www.hertzlerandgeorge.com,,,0,0.0,0.0,0.0,0.0,0.0
hewlett packard enterprise company,Hewlett Packard Enterprise | HPE,www.hpe.com,Enterprise Software & Network Solutions,https://media.glassdoor.com/sqll/1093046/hewlett-packard-enterprise-squarelogo-1446452961178.png,3.2,3.3,2.7,3.1,2.9,3.6
hhb systems,HHB Systems,www.thehhb.com,IT Services,https://media.glassdoor.com/sqll/460614/hhb-systems-squarelogo-1421150936868.png,3.3,3.9,2.1,3.8,4.0,4.2
hhs,HH&S,www.hhs.co.uk,Advertising & Marketing,,3.7,3.4,1.3,1.6,1.6,3.0
hibu -sales,hibu,www.hibu.com,Advertising & Marketing,https://media.glassdoor.com/sqll/7640/hibu-squarelogo-1454346056295.png,2.8,2.8,2.6,3.0,2.5,3.3
hickory ground solutions,Hickory Ground Solutions,www.hickoryground.com,Accounting,,2.8,2.6,2.8,3.4,2.6,2.8
high liner foods,High Liner Foods,www.highlinerfoods.com,Food & Beverage Manufacturing,https://media.glassdoor.com/sqll/19351/high-liner-foods-squarelogo.png,2.8,2.7,2.8,3.8,2.7,2.9
highland hills iii,Highland Hills Fire Department - Ohio,,Municipal Governments,,3.0,5.0,4.0,2.0,2.0,2.0
highlands enterprises inc.,Highlands and Islands Enterprise,www.hie.co.uk,State & Regional Agencies,,3.0,3.0,3.0,4.0,2.0,4.0
highway motors inc.,Florida DHSMV,www.flhsmv.gov,State & Regional Agencies,https://media.glassdoor.com/sqll/109220/florida-dhsmv-squarelogo-1425035891376.png,3.2,3.3,2.9,3.0,3.0,3.4
"hilldrup companies, inc.",Hilldrup Companies,www.hilldrup.com,Transportation Management,https://media.glassdoor.com/sqll/371636/hilldrup-companies-squarelogo-1426685955827.png,3.5,3.5,2.7,2.5,2.9,2.8
hill-rom,Hill-Rom,www.hill-rom.com,Health Care Products Manufacturing,https://media.glassdoor.com/sqll/19740/hill-rom-squarelogo.png,3.2,3.1,2.9,3.3,2.9,3.2
hilti inc,Hilti USA,www.us.hilti.com,Industrial Manufacturing,https://media.glassdoor.com/sqll/18516/hilti-usa-squarelogo-1440774919704.png,4.2,4.4,3.8,3.7,4.1,3.9
hilton worldwide,Hilton,www.hiltonworldwide.com,"Hotels, Motels, & Resorts",https://media.glassdoor.com/sqll/330/hilton-squarelogo-1473255338129.png,3.9,4.0,3.6,3.7,3.8,3.6
hines,Hines Interests Limited Partnership,www.hines.com,Real Estate,https://media.glassdoor.com/sqll/4612/hines-squarelogo.png,4.0,4.2,3.9,3.9,3.6,3.7
"hired by matrix, inc.",Hired by Matrix,www.hiredbymatrix.com,Staffing & Outsourcing,https://media.glassdoor.com/sqll/610016/hired-by-matrix-squarelogo.png,4.7,4.5,4.4,4.4,4.4,4.2
hirschfeld industries,Hirschfeld,www.hirschfeld.com,Construction,,2.2,2.0,1.6,3.2,1.6,1.8
hitachi consulting corporation,Hitachi Consulting,www.hitachiconsulting.com,Consulting,https://media.glassdoor.com/sqll/28435/hitachi-consulting-squarelogo.png,3.4,3.6,3.0,3.2,3.1,3.6
hitachi data systems,Hitachi Data Systems,www.hds.com,IT Services,https://media.glassdoor.com/sqll/13529/hitachi-data-systems-squarelogo-1475764512426.png,3.5,3.8,3.2,3.4,3.1,3.8
hitt contracting inc.,HITT Contracting,www.hitt-gc.com,Construction,https://media.glassdoor.com/sqll/16831/hitt-squarelogo-1400521795582.png,3.0,3.0,2.5,3.3,2.8,2.6
hka enterprises,HKA Enterprises,www.hkaa.com,Advertising & Marketing,https://media.glassdoor.com/sqll/477054/hka-enterprises-squarelogo.png,3.8,3.4,3.8,3.4,4.0,3.4
hks,HKS,www.hksinc.com,Architectural & Engineering Services,https://media.glassdoor.com/sqll/24075/hks-squarelogo-1404329034991.png,4.2,4.4,4.0,3.8,4.3,4.1
"hks, inc",HKS,www.hksinc.com,Architectural & Engineering Services,https://media.glassdoor.com/sqll/24075/hks-squarelogo-1404329034991.png,4.2,4.4,4.0,3.8,4.3,4.1
hmshost,HMSHost,www.hmshost.com,Catering & Food Service Contractors,https://media.glassdoor.com/sqll/5562/hmshost-squarelogo.png,2.8,2.7,2.4,3.0,2.8,2.5
hni,HNI,www.hnicorp.com,Consumer Products Manufacturing,https://media.glassdoor.com/sqll/1466/hni-squarelogo-1429633445375.png,3.2,3.6,2.9,3.0,3.2,2.9
hntb,HNTB,www.hntb.com,Architectural & Engineering Services,https://media.glassdoor.com/sqll/9618/hntb-companies-squarelogo.png,3.1,3.0,2.6,3.7,3.0,3.0
ho chunk inc.,Ho-Chunk,www.hochunkinc.com,Convenience Stores & Truck Stops,https://media.glassdoor.com/sqll/29665/ho-chunk-squarelogo-1425965814674.png,2.9,3.2,2.5,3.3,2.5,3.0
hobsons,Hobsons,www.hobsons.com,Enterprise Software & Network Solutions,https://media.glassdoor.com/sqll/123072/hobsons-squarelogo.png,3.1,3.4,2.6,3.0,2.4,3.6
hobsons inc.,Hobson Associates,www.hobsonassoc.com,Staffing & Outsourcing,,3.9,3.6,3.5,3.9,3.6,3.8
holiday inn,Holiday Inn,www.ihg.com,"Hotels, Motels, & Resorts",https://media.glassdoor.com/sqll/909282/holiday-inn-squarelogo-1420737349809.png,3.3,3.1,2.8,2.6,2.9,2.9
holiday inn club vacations,Holiday Inn Club Vacations,jobs.holidayinnclub.com,"Hotels, Motels, & Resorts",https://media.glassdoor.com/sqll/454998/holiday-inn-club-vacations-squarelogo-1460129124269.png,3.1,3.3,3.1,3.5,3.0,3.4
holiday inn express & suites,InterContinental Hotels Group,www.ihg.com,"Hotels, Motels, & Resorts",https://media.glassdoor.com/sqll/4232/intercontinental-hotels-group-squarelogo-1432302320361.png,3.8,3.8,3.3,3.5,3.5,3.5
holiday retirement,Holiday Retirement,www.holidaytouch.com,Real Estate,https://media.glassdoor.com/sqll/7691/holiday-retirement-squarelogo-1373039421681.png,2.2,2.2,1.8,2.6,2.1,1.9
hollister,Hollister Co.,www.hollisterco.com,Consumer Products Manufacturing,https://media.glassdoor.com/sqll/466037/hollister-co-squarelogo.png,3.1,3.2,2.8,2.4,2.7,3.3
hologic,Hologic,www.hologic.com,Health Care Products Manufacturing,https://media.glassdoor.com/sqll/1568/hologic-squarelogo-1445444909319.png,3.5,3.6,3.3,3.3,3.1,3.6
home care assistance,Home Care Assistance,www.homecareassistance.com,,https://media.glassdoor.com/sqll/472691/home-care-assistance-squarelogo.png,3.2,3.1,2.8,2.5,2.7,2.9
"home care delivered, inc.",Home Care Delivered,www.homecaredelivered.com,Health Care Services & Hospitals,https://media.glassdoor.com/sqll/337460/home-care-delivered-squarelogo-1481213377838.png,2.0,2.1,1.9,2.5,2.0,2.7
home depot,The Home Depot,www.homedepot.com,Home Centers & Hardware Stores,https://media.glassdoor.com/sqll/655/home-depot-squarelogo.png,3.4,3.7,3.0,3.2,3.3,3.0
home instead senior care,Home Instead Senior Care,www.homeinstead.com,Health Care Services & Hospitals,https://media.glassdoor.com/sqll/592979/home-instead-senior-care-squarelogo.png,3.2,3.6,3.1,2.3,2.8,3.3
home properties,Home Properties,www.homeproperties.com,Real Estate,https://media.glassdoor.com/sqll/3662/home-properties-squarelogo.png,3.1,2.9,3.3,3.2,2.7,3.1
home technologies,Power Home Technologies,www.pht.com,Security Services,https://media.glassdoor.com/sqll/399038/power-home-technologies-squarelogo-1439502501686.png,4.4,4.4,4.4,4.1,4.1,4.3
homeadvisor,HomeAdvisor,www.homeadvisor.com,Building & Personnel Services,https://media.glassdoor.com/sqll/11291/homeadvisor-squarelogo.png,3.9,3.9,3.9,4.1,3.7,3.8
"homeland security solutions, inc.",Homeland Security Solutions,www.homelandsecurityinc.com,Security Services,https://media.glassdoor.com/sqll/620024/homeland-security-solutions-squarelogo-1461149543442.png,2.8,3.0,2.7,2.6,2.3,3.0
honeytree early learning centers,HoneyTree Early Learning Centers,www.honeytreeelc.com,,,1.4,1.0,0.0,1.0,1.0,1.0
honeywell,Honeywell,www.honeywell.com,Computer Hardware & Software,https://media.glassdoor.com/sqll/28/honeywell-squarelogo-1373343557913.png,3.0,2.8,2.5,2.8,2.9,3.0
horizon behavioral health,Horizon Behavioral Health,www.horizonbehavioralhealth.org,,,2.8,2.4,1.8,3.0,2.5,2.5
horizon industries limited,Horizon Industries,www.hil.us,IT Services,https://media.glassdoor.com/sqll/265021/horizon-industries-squarelogo-1478549816588.png,4.6,4.6,4.4,4.1,3.9,4.7
"horizon industries, limited",Horizon Industries,www.hil.us,IT Services,https://media.glassdoor.com/sqll/265021/horizon-industries-squarelogo-1478549816588.png,4.6,4.6,4.4,4.1,3.9,4.7
horizons general contracting,Al Jihan Gulf Horizon General Contracting,,,,2.0,0.0,0.0,0.0,0.0,0.0
hospice of virginia,Virginia Association for Hospices and Palliative Care,www.virginiahospices.org,Social Assistance,,0,0.0,0.0,0.0,0.0,0.0
